"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"03.01.2023 01:45 - 03.01.2023 02:00","0","0","0","4184","4085","4085","15085","17085","17085"
"03.01.2023 02:00 - 03.01.2023 02:15","0","0","0","4142","4006","4006","14779","17025","17025"
"03.01.2023 02:15 - 03.01.2023 02:30","0","0","0","4089","3947","3947","14509","16600","16600"
"03.01.2023 02:30 - 03.01.2023 02:45","0","0","0","4036","3859","3859","14245","16171","16171"
"03.01.2023 02:45 - 03.01.2023 03:00","0","0","0","3978","3889","3889","13987","15754","15754"
"03.01.2023 03:00 - 03.01.2023 03:15","0","0","0","3922","3873","3873","13738","15574","15574"
"03.01.2023 03:15 - 03.01.2023 03:30","0","0","0","3860","3744","3744","13549","15192","15192"
"03.01.2023 03:30 - 03.01.2023 03:45","0","0","0","3795","3675","3675","13355","14917","14917"
"03.01.2023 03:45 - 03.01.2023 04:00","0","0","0","3738","3608","3608","13165","14680","14680"
"03.01.2023 04:00 - 03.01.2023 04:15","0","0","0","3677","3571","3571","12974","14463","14463"
"03.01.2023 04:15 - 03.01.2023 04:30","0","0","0","3597","3524","3524","12728","14064","14064"
"03.01.2023 04:30 - 03.01.2023 04:45","0","0","0","3522","3435","3435","12481","13841","13841"
"03.01.2023 04:45 - 03.01.2023 05:00","0","0","0","3449","3400","3400","12227","13585","13585"
"03.01.2023 05:00 - 03.01.2023 05:15","0","0","0","3371","3357","3357","11969","13276","13276"
"03.01.2023 05:15 - 03.01.2023 05:30","0","0","0","3287","3297","3297","11712","12926","12926"
"03.01.2023 05:30 - 03.01.2023 05:45","0","0","0","3206","3206","3206","11456","12769","12769"
"03.01.2023 05:45 - 03.01.2023 06:00","0","0","0","3127","3135","3135","11200","12537","12537"
"03.01.2023 06:00 - 03.01.2023 06:15","0","0","0","3017","3052","3052","11047","12348","12348"
"03.01.2023 06:15 - 03.01.2023 06:30","0","0","0","2945","2945","2945","10850","11947","11947"
"03.01.2023 06:30 - 03.01.2023 06:45","0","0","0","2872","2938","2938","10629","11811","11811"
"03.01.2023 06:45 - 03.01.2023 07:00","0","0","0","2801","2859","2859","10362","11647","11645"
"03.01.2023 07:00 - 03.01.2023 07:15","0","0","0","2733","2763","2763","10083","11255","11253"
"03.01.2023 07:15 - 03.01.2023 07:30","0","0","0","2696","2759","2759","9914","11287","11272"
"03.01.2023 07:30 - 03.01.2023 07:45","0","0","0","2662","2659","2659","9790","11371","11341"
"03.01.2023 07:45 - 03.01.2023 08:00","0","0","0","2627","2627","2571","9686","11275","11306"
"03.01.2023 08:00 - 03.01.2023 08:15","24","9","9","2599","2605","2553","9596","11167","11384"
"03.01.2023 08:15 - 03.01.2023 08:30","94","45","54","2616","2630","2570","9535","11012","11330"
"03.01.2023 08:30 - 03.01.2023 08:45","539","354","358","2634","2646","2623","9479","10811","11215"
"03.01.2023 08:45 - 03.01.2023 09:00","1015","797","783","2649","2666","2561","9447","10682","11046"
"03.01.2023 09:00 - 03.01.2023 09:15","1608","1492","1444","2672","2686","2577","9409","10612","10789"
"03.01.2023 09:15 - 03.01.2023 09:30","2299","2267","2225","2734","2737","2673","9323","10406","10570"
"03.01.2023 09:30 - 03.01.2023 09:45","3054","3051","3072","2798","2779","2746","9235","10205","10346"
"03.01.2023 09:45 - 03.01.2023 10:00","3817","3828","3931","2865","2823","2838","9119","9952","10092"
"03.01.2023 10:00 - 03.01.2023 10:15","4560","4605","4721","2936","2859","2833","9004","9695","9822"
"03.01.2023 10:15 - 03.01.2023 10:30","5297","5355","5483","3045","2957","2920","8794","9347","9394"
"03.01.2023 10:30 - 03.01.2023 10:45","6014","6113","6236","3152","3035","3158","8583","9001","9087"
"03.01.2023 10:45 - 03.01.2023 11:00","6663","6771","6816","3255","3111","3228","8405","8693","8775"
"03.01.2023 11:00 - 03.01.2023 11:15","7231","7358","7435","3362","3181","3278","8229","8389","8554"
